Year,Month,Day ,Sunrise,Sunset,DayLength,Difference,AstronomicalTwilightStart,AstronomicalTwilightEnd,NauticalTwilightStart,NauticalTwilightEnd,CivilTwilightStart,CivilTwilightEnd,SolarNoon,Mil. mi
,,28,5:35 am ? (61°),8:19 pm ? (299°),0.613518519,+1:19,0.152083333,0.927083333,0.183333333,0.895833333,0.211111111,0.868055556,12:57 pm (71.8°),94.208
,,29,5:35 am ? (60°),8:19 pm ? (300°),0.614409722,+1:16,0.151388889,0.928472222,0.182638889,0.896527778,0.210416667,0.86875,12:57 pm (72.0°),94.223
,,30,5:34 am ? (60°),8:20 pm ? (300°),0.61525463,+1:13,0.150694444,0.929166667,0.181944444,0.897222222,0.209722222,0.869444444,12:57 pm (72.1°),94.239
,,31,5:34 am ? (60°),8:21 pm ? (300°),0.616076389,+1:10,0.15,0.929861111,0.181944444,0.897916667,0.209722222,0.870138889,12:57 pm (72.3°),94.254
2013,June,1,5:33 am ? (60°),8:22 pm ? (300°),0.616863426,+1:07,0.149305556,0.930555556,0.18125,0.898611111,0.209027778,0.870833333,12:57 pm (72.4°),94.269
,,2,5:33 am ? (60°),8:22 pm ? (300°),0.617604167,+1:04,0.149305556,0.93125,0.18125,0.899305556,0.209027778,0.870833333,12:58 pm (72.5°),94.283
,,3,5:33 am ? (60°),8:23 pm ? (301°),0.618321759,+1:01,0.148611111,0.931944444,0.180555556,0.9,0.209027778,0.871527778,12:58 pm (72.7°),94.297
,,4,5:32 am ? (59°),8:24 pm ? (301°),0.618993056,+0:58,0.147916667,0.932638889,0.180555556,0.9,0.208333333,0.872222222,12:58 pm (72.8°),94.311
,,5,5:32 am ? (59°),8:24 pm ? (301°),0.61962963,+0:55,0.147916667,0.933333333,0.179861111,0.900694444,0.208333333,0.872916667,12:58 pm (72.9°),94.324
,,6,5:32 am ? (59°),8:25 pm ? (301°),0.620231481,+0:51,0.147222222,0.934027778,0.179861111,0.901388889,0.207638889,0.872916667,12:58 pm (73.0°),94.336
,,7,5:32 am ? (59°),8:25 pm ? (301°),0.620787037,+0:48,0.146527778,0.934722222,0.179166667,0.902083333,0.207638889,0.873611111,12:58 pm (73.1°),94.348
,,8,5:31 am ? (59°),8:26 pm ? (301°),0.62130787,+0:45,0.146527778,0.935416667,0.179166667,0.902083333,0.207638889,0.873611111,12:59 pm (73.2°),94.36
,,9,5:31 am ? (59°),8:27 pm ? (301°),0.621793981,+0:41,0.145833333,0.936111111,0.179166667,0.902777778,0.207638889,0.874305556,12:59 pm (73.2°),94.371
,,10,5:31 am ? (59°),8:27 pm ? (301°),0.62224537,+0:38,0.145833333,0.936111111,0.179166667,0.903472222,0.207638889,0.875,12:59 pm (73.3°),94.381
,,11,5:31 am ? (58°),8:28 pm ? (302°),0.622650463,+0:35,0.145833333,0.936805556,0.178472222,0.903472222,0.206944444,0.875,12:59 pm (73.4°),94.391
,,12,5:31 am ? (58°),8:28 pm ? (302°),0.623009259,+0:31,0.145138889,0.9375,0.178472222,0.904166667,0.206944444,0.875694444,12:59 pm (73.4°),94.401
,,13,5:31 am ? (58°),8:28 pm ? (302°),0.623344907,+0:28,0.145138889,0.9375,0.178472222,0.904166667,0.206944444,0.875694444,1:00 pm (73.5°),94.41
,,14,5:31 am ? (58°),8:29 pm ? (302°),0.623622685,+0:24,0.145138889,0.938194444,0.178472222,0.904861111,0.206944444,0.876388889,1:00 pm (73.6°),94.418
,,15,5:31 am ? (58°),8:29 pm ? (302°),0.623865741,+0:21,0.145138889,0.938194444,0.178472222,0.904861111,0.206944444,0.876388889,1:00 pm (73.6°),94.426
,,16,5:31 am ? (58°),8:30 pm ? (302°),0.624074074,+0:17,0.145138889,0.938888889,0.178472222,0.905555556,0.206944444,0.876388889,1:00 pm (73.6°),94.434
,,17,5:31 am ? (58°),8:30 pm ? (302°),0.624236111,+0:13,0.145138889,0.938888889,0.178472222,0.905555556,0.206944444,0.877083333,1:00 pm (73.7°),94.441
,,18,5:31 am ? (58°),8:30 pm ? (302°),0.624351852,+0:10,0.145138889,0.939583333,0.178472222,0.905555556,0.206944444,0.877083333,1:01 pm (73.7°),94.448
,,19,5:31 am ? (58°),8:31 pm ? (302°),0.62443287,+0:06,0.145138889,0.939583333,0.178472222,0.90625,0.207638889,0.877083333,1:01 pm (73.7°),94.454
,,20,5:31 am ? (58°),8:31 pm ? (302°),0.624467593,+0:03,0.145138889,0.939583333,0.178472222,0.90625,0.207638889,0.877083333,1:01 pm (73.7°),94.46
,,21,5:32 am ? (58°),8:31 pm ? (302°),0.624467593,< 1s,0.145138889,0.939583333,0.179166667,0.90625,0.207638889,0.877777778,1:01 pm (73.7°),94.466
,,22,5:32 am ? (58°),8:31 pm ? (302°),0.624421296,?0:03,0.145833333,0.939583333,0.179166667,0.90625,0.207638889,0.877777778,1:02 pm (73.7°),94.471
,,23,5:32 am ? (58°),8:31 pm ? (302°),0.624328704,?0:07,0.145833333,0.940277778,0.179166667,0.90625,0.207638889,0.877777778,1:02 pm (73.7°),94.476
,,24,5:33 am ? (58°),8:31 pm ? (302°),0.624201389,?0:11,0.145833333,0.940277778,0.179166667,0.90625,0.208333333,0.877777778,1:02 pm (73.6°),94.481
,,25,5:33 am ? (58°),8:31 pm ? (302°),0.624039352,?0:14,0.146527778,0.940277778,0.179861111,0.90625,0.208333333,0.877777778,1:02 pm (73.6°),94.485
,,26,5:33 am ? (58°),8:32 pm ? (302°),0.623831019,?0:18,0.146527778,0.939583333,0.179861111,0.90625,0.209027778,0.877777778,1:02 pm (73.6°),94.49
,,27,5:34 am ? (58°),8:32 pm ? (302°),0.623576389,?0:21,0.147222222,0.939583333,0.180555556,0.90625,0.209027778,0.877777778,1:03 pm (73.5°),94.494
,,28,5:34 am ? (58°),8:32 pm ? (302°),0.623287037,?0:25,0.147222222,0.939583333,0.180555556,0.90625,0.209027778,0.877777778,1:03 pm (73.5°),94.497
,,29,5:34 am ? (58°),8:31 pm ? (302°),0.622951389,?0:28,0.147916667,0.939583333,0.18125,0.90625,0.209722222,0.877777778,1:03 pm (73.4°),94.5
,,30,5:35 am ? (58°),8:31 pm ? (301°),0.622581019,?0:32,0.147916667,0.939583333,0.18125,0.90625,0.209722222,0.877777778,1:03 pm (73.4°),94.503
2013,July,1,5:35 am ? (59°),8:31 pm ? (301°),0.622175926,?0:35,0.148611111,0.938888889,0.181944444,0.90625,0.210416667,0.877777778,1:03 pm (73.3°),94.505
,,2,5:36 am ? (59°),8:31 pm ? (301°),0.621724537,?0:38,0.149305556,0.938888889,0.181944444,0.90625,0.210416667,0.877777778,1:04 pm (73.2°),94.507
,,3,5:36 am ? (59°),8:31 pm ? (301°),0.621238426,?0:42,0.15,0.938194444,0.182638889,0.905555556,0.211111111,0.877083333,1:04 pm (73.2°),94.508
,,4,5:37 am ? (59°),8:31 pm ? (301°),0.620706019,?0:45,0.150694444,0.938194444,0.183333333,0.905555556,0.211805556,0.877083333,1:04 pm (73.1°),94.509
,,5,5:37 am ? (59°),8:30 pm ? (301°),0.620138889,?0:48,0.150694444,0.9375,0.183333333,0.904861111,0.211805556,0.877083333,1:04 pm (73.0°),94.509
,,6,5:38 am ? (59°),8:30 pm ? (301°),0.619537037,?0:52,0.151388889,0.9375,0.184027778,0.904861111,0.2125,0.876388889,1:04 pm (72.9°),94.509
,,7,5:39 am ? (59°),8:30 pm ? (301°),0.618900463,?0:55,0.152083333,0.936805556,0.184722222,0.904861111,0.2125,0.876388889,1:04 pm (72.8°),94.508
,,8,5:39 am ? (59°),8:30 pm ? (300°),0.618217593,?0:58,0.152777778,0.936111111,0.185416667,0.904166667,0.213194444,0.876388889,1:05 pm (72.6°),94.506
,,9,5:40 am ? (60°),8:29 pm ? (300°),0.6175,?1:01,0.153472222,0.936111111,0.185416667,0.903472222,0.213888889,0.875694444,1:05 pm (72.5°),94.504
,,10,5:41 am ? (60°),8:29 pm ? (300°),0.616759259,?1:04,0.154166667,0.935416667,0.186111111,0.903472222,0.214583333,0.875694444,1:05 pm (72.4°),94.502
,,11,5:41 am ? (60°),8:28 pm ? (300°),0.615972222,?1:07,0.154861111,0.934722222,0.186805556,0.902777778,0.214583333,0.875,1:05 pm (72.3°),94.498
,,12,5:42 am ? (60°),8:28 pm ? (300°),0.615150463,?1:10,0.15625,0.934027778,0.1875,0.902777778,0.215277778,0.875,1:05 pm (72.1°),94.495
,,13,5:43 am ? (60°),8:27 pm ? (299°),0.614305556,?1:13,0.156944444,0.933333333,0.188194444,0.902083333,0.215972222,0.874305556,1:05 pm (72.0°),94.491
,,14,5:44 am ? (61°),8:27 pm ? (299°),0.613414352,?1:16,0.157638889,0.932638889,0.188888889,0.901388889,0.216666667,0.874305556,1:05 pm (71.8°),94.486
,,15,5:44 am ? (61°),8:26 pm ? (299°),0.6125,?1:19,0.158333333,0.931944444,0.189583333,0.900694444,0.217361111,0.873611111,1:05 pm (71.7°),94.481
,,16,5:45 am ? (61°),8:26 pm ? (299°),0.611550926,?1:21,0.159027778,0.93125,0.190277778,0.900694444,0.217361111,0.872916667,1:06 pm (71.5°),94.475
,,17,5:46 am ? (61°),8:25 pm ? (299°),0.610578704,?1:24,0.159722222,0.930555556,0.190972222,0.9,0.218055556,0.872222222,1:06 pm (71.3°),94.469
,,18,5:47 am ? (62°),8:24 pm ? (298°),0.609571759,?1:27,0.161111111,0.929861111,0.191666667,0.899305556,0.21875,0.872222222,1:06 pm (71.1°),94.463
,,19,5:47 am ? (62°),8:24 pm ? (298°),0.608530093,?1:29,0.161805556,0.929166667,0.192361111,0.898611111,0.219444444,0.871527778,1:06 pm (71.0°),94.456
,,20,5:48 am ? (62°),8:23 pm ? (298°),0.607465278,?1:32,0.1625,0.927777778,0.193055556,0.897916667,0.220138889,0.870833333,1:06 pm (70.8°),94.449
,,21,5:49 am ? (62°),8:22 pm ? (298°),0.606365741,?1:34,0.163888889,0.927083333,0.19375,0.897222222,0.220833333,0.870138889,1:06 pm (70.6°),94.441
,,22,5:50 am ? (63°),8:21 pm ? (297°),0.605243056,?1:37,0.164583333,0.926388889,0.194444444,0.896527778,0.221527778,0.869444444,1:06 pm (70.4°),94.434
,,23,5:51 am ? (63°),8:21 pm ? (297°),0.604097222,?1:39,0.165277778,0.925694444,0.195138889,0.895833333,0.222222222,0.869444444,1:06 pm (70.2°),94.426
,,24,5:52 am ? (63°),8:20 pm ? (297°),0.602916667,?1:41,0.166666667,0.924305556,0.195833333,0.895138889,0.222916667,0.86875,1:06 pm (70.0°),94.418
,,25,5:52 am ? (63°),8:19 pm ? (296°),0.601712963,?1:43,0.167361111,0.923611111,0.196527778,0.894444444,0.223611111,0.868055556,1:06 pm (69.7°),94.409
,,26,5:53 am ? (64°),8:18 pm ? (296°),0.600486111,?1:45,0.168055556,0.922222222,0.197916667,0.89375,0.224305556,0.867361111,1:06 pm (69.5°),94.4
,,27,5:54 am ? (64°),8:17 pm ? (296°),0.599236111,?1:48,0.169444444,0.921527778,0.198611111,0.892361111,0.225,0.866666667,1:06 pm (69.3°),94.391
,,28,5:55 am ? (64°),8:16 pm ? (295°),0.597962963,?1:50,0.170138889,0.920833333,0.199305556,0.891666667,0.225694444,0.865972222,1:06 pm (69.1°),94.381
,,29,5:56 am ? (65°),8:15 pm ? (295°),0.596666667,?1:52,0.171527778,0.919444444,0.2,0.890972222,0.226388889,0.865277778,1:06 pm (68.8°),94.372
,,30,5:57 am ? (65°),8:14 pm ? (295°),0.595347222,?1:53,0.172222222,0.91875,0.200694444,0.890277778,0.227083333,0.863888889,1:06 pm (68.6°),94.361
,,31,5:58 am ? (65°),8:13 pm ? (294°),0.59400463,?1:55,0.172916667,0.917361111,0.201388889,0.888888889,0.227777778,0.863194444,1:06 pm (68.3°),94.35
2013,August,1,5:59 am ? (66°),8:12 pm ? (294°),0.592650463,?1:57,0.174305556,0.916666667,0.202777778,0.888194444,0.228472222,0.8625,1:06 pm (68.1°),94.339
,,2,6:00 am ? (66°),8:11 pm ? (294°),0.591261574,?1:59,0.175,0.915277778,0.203472222,0.8875,0.229166667,0.861805556,1:06 pm (67.8°),94.328
,,3,6:01 am ? (66°),8:10 pm ? (293°),0.589861111,?2:01,0.176388889,0.913888889,0.204166667,0.886111111,0.229861111,0.861111111,1:06 pm (67.6°),94.315
,,4,6:02 am ? (67°),8:09 pm ? (293°),0.5884375,?2:02,0.177083333,0.913194444,0.204861111,0.885416667,0.230555556,0.860416667,1:06 pm (67.3°),94.303
,,5,6:02 am ? (67°),8:08 pm ? (293°),0.587002315,?2:04,0.178472222,0.911805556,0.205555556,0.884722222,0.23125,0.859027778,1:05 pm (67.0°),94.29
,,6,6:03 am ? (67°),8:07 pm ? (292°),0.585543981,?2:05,0.179166667,0.910416667,0.20625,0.883333333,0.231944444,0.858333333,1:05 pm (66.7°),94.276
,,7,6:04 am ? (68°),8:05 pm ? (292°),0.584074074,?2:07,0.179861111,0.909722222,0.207638889,0.882638889,0.232638889,0.857638889,1:05 pm (66.5°),94.262
,,8,6:05 am ? (68°),8:04 pm ? (292°),0.582581019,?2:08,0.18125,0.908333333,0.208333333,0.88125,0.233333333,0.856944444,1:05 pm (66.2°),94.247
,,9,6:06 am ? (69°),8:03 pm ? (291°),0.581087963,?2:09,0.181944444,0.906944444,0.209027778,0.880555556,0.234027778,0.855555556,1:05 pm (65.9°),94.232
,,10,6:07 am ? (69°),8:02 pm ? (291°),0.579560185,?2:11,0.183333333,0.90625,0.209722222,0.879166667,0.234722222,0.854861111,1:05 pm (65.6°),94.217
,,11,6:08 am ? (69°),8:00 pm ? (290°),0.578032407,?2:12,0.184027778,0.904861111,0.210416667,0.878472222,0.235416667,0.854166667,1:05 pm (65.3°),94.201
,,12,6:09 am ? (70°),7:59 pm ? (290°),0.576481481,?2:13,0.184722222,0.903472222,0.211111111,0.877083333,0.236111111,0.852777778,1:04 pm (65.0°),94.184
,,13,6:10 am ? (70°),7:58 pm ? (290°),0.574918981,?2:14,0.186111111,0.902777778,0.2125,0.876388889,0.236805556,0.852083333,1:04 pm (64.7°),94.167
,,14,6:11 am ? (71°),7:57 pm ? (289°),0.573344907,?2:16,0.186805556,0.901388889,0.213194444,0.875,0.2375,0.850694444,1:04 pm (64.4°),94.15
,,15,6:12 am ? (71°),7:55 pm ? (289°),0.571759259,?2:17,0.188194444,0.9,0.213888889,0.874305556,0.238194444,0.85,1:04 pm (64.1°),94.132
,,16,6:13 am ? (71°),7:54 pm ? (288°),0.570162037,?2:18,0.188888889,0.898611111,0.214583333,0.872916667,0.238888889,0.849305556,1:04 pm (63.8°),94.115
,,17,6:14 am ? (72°),7:52 pm ? (288°),0.568541667,?2:19,0.189583333,0.897222222,0.215277778,0.872222222,0.239583333,0.847916667,1:03 pm (63.4°),94.096
,,18,6:15 am ? (72°),7:51 pm ? (287°),0.566921296,?2:20,0.190972222,0.896527778,0.215972222,0.870833333,0.240277778,0.847222222,1:03 pm (63.1°),94.078
,,19,6:16 am ? (73°),7:50 pm ? (287°),0.565289352,?2:20,0.191666667,0.895138889,0.217361111,0.869444444,0.240972222,0.845833333,1:03 pm (62.8°),94.06
,,20,6:17 am ? (73°),7:48 pm ? (287°),0.563645833,?2:21,0.192361111,0.89375,0.218055556,0.86875,0.241666667,0.845138889,1:03 pm (62.5°),94.041
,,21,6:17 am ? (74°),7:47 pm ? (286°),0.562002315,?2:22,0.19375,0.892361111,0.21875,0.867361111,0.242361111,0.84375,1:02 pm (62.1°),94.022
,,22,6:18 am ? (74°),7:45 pm ? (286°),0.560335648,?2:23,0.194444444,0.890972222,0.219444444,0.866666667,0.243055556,0.843055556,1:02 pm (61.8°),94.003
,,23,6:19 am ? (75°),7:44 pm ? (285°),0.558668981,?2:24,0.195138889,0.889583333,0.220138889,0.865277778,0.24375,0.841666667,1:02 pm (61.4°),93.983
,,24,6:20 am ? (75°),7:42 pm ? (285°),0.556990741,?2:25,0.196527778,0.888888889,0.220833333,0.863888889,0.244444444,0.840277778,1:02 pm (61.1°),93.964
,,25,6:21 am ? (75°),7:41 pm ? (284°),0.555300926,?2:25,0.197222222,0.8875,0.221527778,0.8625,0.245138889,0.839583333,1:01 pm (60.8°),93.944
,,26,6:22 am ? (76°),7:39 pm ? (284°),0.553611111,?2:26,0.197916667,0.886111111,0.222916667,0.861805556,0.245833333,0.838194444,1:01 pm (60.4°),93.924
,,27,6:23 am ? (76°),7:38 pm ? (283°),0.551898148,?2:27,0.199305556,0.884722222,0.223611111,0.860416667,0.246527778,0.8375,1:01 pm (60.1°),93.904
,,28,6:24 am ? (77°),7:36 pm ? (283°),0.550196759,?2:27,0.2,0.883333333,0.224305556,0.859027778,0.247222222,0.836111111,1:01 pm (59.7°),93.884
,,29,6:25 am ? (77°),7:35 pm ? (282°),0.548472222,?2:28,0.200694444,0.881944444,0.225,0.858333333,0.247916667,0.835416667,1:00 pm (59.4°),93.863
,,30,6:26 am ? (78°),7:33 pm ? (282°),0.546747685,?2:28,0.201388889,0.880555556,0.225694444,0.856944444,0.248611111,0.834027778,1:00 pm (59.0°),93.842
,,31,6:27 am ? (78°),7:32 pm ? (281°),0.545023148,?2:29,0.202777778,0.879861111,0.226388889,0.855555556,0.249305556,0.832638889,1:00 pm (58.6°),93.821
2013,September,1,6:28 am ? (79°),7:30 pm ? (281°),0.543287037,?2:29,0.203472222,0.878472222,0.227083333,0.854861111,0.25,0.831944444,12:59 pm (58.3°),93.799
,,2,6:29 am ? (79°),7:29 pm ? (281°),0.541550926,?2:30,0.204166667,0.877083333,0.227777778,0.853472222,0.250694444,0.830555556,12:59 pm (57.9°),93.777
,,3,6:30 am ? (80°),7:27 pm ? (280°),0.539803241,?2:30,0.204861111,0.875694444,0.228472222,0.852083333,0.251388889,0.829166667,12:59 pm (57.5°),93.755
,,4,6:31 am ? (80°),7:25 pm ? (280°),0.538055556,?2:31,0.205555556,0.874305556,0.229166667,0.850694444,0.252083333,0.828472222,12:58 pm (57.2°),93.732
,,5,6:32 am ? (81°),7:24 pm ? (279°),0.536296296,?2:31,0.206944444,0.872916667,0.229861111,0.85,0.252777778,0.827083333,12:58 pm (56.8°),93.709
,,6,6:32 am ? (81°),7:22 pm ? (279°),0.534537037,?2:32,0.207638889,0.871527778,0.23125,0.848611111,0.253472222,0.826388889,12:58 pm (56.4°),93.686
,,7,6:33 am ? (82°),7:21 pm ? (278°),0.532777778,?2:32,0.208333333,0.870833333,0.231944444,0.847222222,0.254166667,0.825,12:57 pm (56.1°),93.662
,,8,6:34 am ? (82°),7:19 pm ? (278°),0.531006944,?2:32,0.209027778,0.869444444,0.232638889,0.845833333,0.254861111,0.823611111,12:57 pm (55.7°),93.638
,,9,6:35 am ? (83°),7:17 pm ? (277°),0.529236111,?2:33,0.209722222,0.868055556,0.233333333,0.845138889,0.255555556,0.822916667,12:57 pm (55.3°),93.613
,,10,6:36 am ? (83°),7:16 pm ? (277°),0.527465278,?2:33,0.211111111,0.866666667,0.234027778,0.84375,0.25625,0.821527778,12:56 pm (54.9°),93.589
,,11,6:37 am ? (84°),7:14 pm ? (276°),0.52568287,?2:33,0.211805556,0.865277778,0.234722222,0.842361111,0.256944444,0.820138889,12:56 pm (54.5°),93.564
,,12,6:38 am ? (84°),7:12 pm ? (276°),0.523900463,?2:33,0.2125,0.863888889,0.235416667,0.841666667,0.257638889,0.819444444,12:56 pm (54.2°),93.539
,,13,6:39 am ? (85°),7:11 pm ? (275°),0.522118056,?2:33,0.213194444,0.863194444,0.236111111,0.840277778,0.258333333,0.818055556,12:55 pm (53.8°),93.514
,,14,6:40 am ? (85°),7:09 pm ? (275°),0.520335648,?2:34,0.213888889,0.861805556,0.236805556,0.838888889,0.259027778,0.816666667,12:55 pm (53.4°),93.488
,,15,6:41 am ? (86°),7:08 pm ? (274°),0.518553241,?2:34,0.214583333,0.860416667,0.2375,0.8375,0.259722222,0.815972222,12:55 pm (53.0°),93.463
,,16,6:42 am ? (86°),7:06 pm ? (274°),0.516759259,?2:34,0.215277778,0.859027778,0.238194444,0.836805556,0.260416667,0.814583333,12:54 pm (52.6°),93.437
,,17,6:43 am ? (87°),7:04 pm ? (273°),0.514965278,?2:34,0.215972222,0.857638889,0.238888889,0.835416667,0.261111111,0.813194444,12:54 pm (52.2°),93.411
,,18,6:44 am ? (87°),7:03 pm ? (273°),0.51318287,?2:34,0.216666667,0.85625,0.239583333,0.834027778,0.261805556,0.8125,12:53 pm (51.8°),93.386
,,19,6:45 am ? (88°),7:01 pm ? (272°),0.511388889,?2:34,0.218055556,0.855555556,0.240277778,0.832638889,0.2625,0.811111111,12:53 pm (51.5°),93.36
,,20,6:45 am ? (88°),6:59 pm ? (272°),0.509594907,?2:34,0.21875,0.854166667,0.240972222,0.831944444,0.2625,0.809722222,12:53 pm (51.1°),93.335
,,21,6:46 am ? (89°),6:58 pm ? (271°),0.507800926,?2:35,0.219444444,0.852777778,0.241666667,0.830555556,0.263194444,0.809027778,12:52 pm (50.7°),93.309
,,22,6:47 am ? (89°),6:56 pm ? (271°),0.506006944,?2:35,0.220138889,0.851388889,0.242361111,0.829166667,0.263888889,0.807638889,12:52 pm (50.3°),93.283
,,23,6:48 am ? (90°),6:54 pm ? (270°),0.504201389,?2:35,0.220833333,0.850694444,0.243055556,0.828472222,0.264583333,0.80625,12:52 pm (49.9°),93.258
,,24,6:49 am ? (90°),6:53 pm ? (270°),0.502407407,?2:35,0.221527778,0.849305556,0.24375,0.827083333,0.265277778,0.805555556,12:51 pm (49.5°),93.232
,,25,6:50 am ? (91°),6:51 pm ? (269°),0.500613426,?2:35,0.222222222,0.847916667,0.244444444,0.825694444,0.265972222,0.804166667,12:51 pm (49.1°),93.207
,,26,6:51 am ? (91°),6:49 pm ? (269°),0.498819444,?2:35,0.222916667,0.846527778,0.245138889,0.825,0.266666667,0.802777778,12:51 pm (48.7°),93.181
,,27,6:52 am ? (92°),6:48 pm ? (268°),0.497025463,?2:35,0.223611111,0.845833333,0.245833333,0.823611111,0.267361111,0.802083333,12:50 pm (48.4°),93.155
,,28,6:53 am ? (92°),6:46 pm ? (268°),0.495219907,?2:35,0.224305556,0.844444444,0.246527778,0.822222222,0.268055556,0.800694444,12:50 pm (48.0°),93.129
,,29,6:54 am ? (93°),6:45 pm ? (267°),0.493425926,?2:35,0.225,0.843055556,0.247222222,0.821527778,0.26875,0.799305556,12:50 pm (47.6°),93.103
,,30,6:55 am ? (93°),6:43 pm ? (267°),0.491631944,?2:34,0.225694444,0.842361111,0.247916667,0.820138889,0.269444444,0.798611111,12:49 pm (47.2°),93.077
2013,October,1,6:56 am ? (94°),6:41 pm ? (266°),0.489849537,?2:34,0.226388889,0.840972222,0.248611111,0.81875,0.270138889,0.797222222,12:49 pm (46.8°),93.051
,,2,6:57 am ? (94°),6:40 pm ? (266°),0.488055556,?2:34,0.227083333,0.839583333,0.249305556,0.818055556,0.270833333,0.796527778,12:49 pm (46.4°),93.025
,,3,6:58 am ? (95°),6:38 pm ? (265°),0.486261574,?2:34,0.227777778,0.838888889,0.25,0.816666667,0.271527778,0.795138889,12:48 pm (46.0°),92.998
,,4,6:59 am ? (95°),6:37 pm ? (265°),0.484479167,?2:34,0.228472222,0.8375,0.250694444,0.815972222,0.272222222,0.79375,12:48 pm (45.6°),92.972
,,5,7:00 am ? (96°),6:35 pm ? (264°),0.482696759,?2:34,0.229166667,0.836111111,0.251388889,0.814583333,0.272916667,0.793055556,12:48 pm (45.3°),92.945
,,6,7:01 am ? (96°),6:33 pm ? (264°),0.480914352,?2:33,0.229861111,0.835416667,0.252083333,0.813888889,0.273611111,0.791666667,12:47 pm (44.9°),92.918
,,7,7:02 am ? (97°),6:32 pm ? (263°),0.479131944,?2:33,0.230555556,0.834027778,0.252777778,0.8125,0.274305556,0.790972222,12:47 pm (44.5°),92.891
,,8,7:03 am ? (97°),6:30 pm ? (263°),0.477349537,?2:33,0.23125,0.833333333,0.253472222,0.811111111,0.275,0.789583333,12:47 pm (44.1°),92.864
,,9,7:04 am ? (98°),6:29 pm ? (262°),0.475578704,?2:33,0.231944444,0.831944444,0.254166667,0.810416667,0.275694444,0.788888889,12:47 pm (43.7°),92.837
,,10,7:05 am ? (98°),6:27 pm ? (262°),0.47380787,?2:32,0.232638889,0.83125,0.254861111,0.809027778,0.276388889,0.7875,12:46 pm (43.4°),92.81
,,11,7:06 am ? (99°),6:26 pm ? (261°),0.472048611,?2:32,0.233333333,0.829861111,0.255555556,0.808333333,0.277083333,0.786805556,12:46 pm (43.0°),92.782
,,12,7:07 am ? (99°),6:24 pm ? (261°),0.470289352,?2:32,0.234027778,0.829166667,0.25625,0.806944444,0.277777778,0.785416667,12:46 pm (42.6°),92.755
,,13,7:08 am ? (100°),6:23 pm ? (260°),0.468530093,?2:31,0.234722222,0.827777778,0.256944444,0.80625,0.278472222,0.784722222,12:46 pm (42.2°),92.728
,,14,7:09 am ? (100°),6:21 pm ? (260°),0.466782407,?2:31,0.235416667,0.827083333,0.257638889,0.805555556,0.279166667,0.783333333,12:45 pm (41.9°),92.701
,,15,7:10 am ? (101°),6:20 pm ? (259°),0.465034722,?2:30,0.236111111,0.825694444,0.258333333,0.804166667,0.279861111,0.782638889,12:45 pm (41.5°),92.674
,,16,7:11 am ? (101°),6:18 pm ? (259°),0.463298611,?2:30,0.236805556,0.825,0.258333333,0.803472222,0.280555556,0.78125,12:45 pm (41.1°),92.648
,,17,7:12 am ? (102°),6:17 pm ? (258°),0.4615625,?2:29,0.2375,0.824305556,0.259027778,0.802083333,0.28125,0.780555556,12:45 pm (40.8°),92.621
,,18,7:13 am ? (102°),6:15 pm ? (258°),0.459837963,?2:29,0.238194444,0.822916667,0.259722222,0.801388889,0.281944444,0.779861111,12:45 pm (40.4°),92.595
,,19,7:14 am ? (103°),6:14 pm ? (257°),0.458113426,?2:28,0.238888889,0.822222222,0.260416667,0.800694444,0.282638889,0.778472222,12:44 pm (40.0°),92.569
,,20,7:15 am ? (103°),6:13 pm ? (257°),0.456400463,?2:28,0.239583333,0.820833333,0.261111111,0.799305556,0.283333333,0.777777778,12:44 pm (39.7°),92.543
,,21,7:16 am ? (103°),6:11 pm ? (256°),0.454699074,?2:27,0.240277778,0.820138889,0.261805556,0.798611111,0.284027778,0.777083333,12:44 pm (39.3°),92.518
,,22,7:17 am ? (104°),6:10 pm ? (256°),0.452997685,?2:26,0.240972222,0.819444444,0.2625,0.797916667,0.284722222,0.775694444,12:44 pm (39.0°),92.492
,,23,7:19 am ? (104°),6:08 pm ? (255°),0.45130787,?2:25,0.241666667,0.81875,0.263194444,0.796527778,0.285416667,0.775,12:44 pm (38.6°),92.467
,,24,7:20 am ? (105°),6:07 pm ? (255°),0.44962963,?2:25,0.242361111,0.817361111,0.263888889,0.795833333,0.286111111,0.774305556,12:44 pm (38.3°),92.442
,,25,7:21 am ? (105°),6:06 pm ? (254°),0.447951389,?2:24,0.243055556,0.816666667,0.264583333,0.795138889,0.286805556,0.772916667,12:43 pm (37.9°),92.418
,,26,7:22 am ? (106°),6:04 pm ? (254°),0.446296296,?2:23,0.24375,0.815972222,0.265277778,0.794444444,0.2875,0.772222222,12:43 pm (37.6°),92.393
,,27,7:23 am ? (106°),6:03 pm ? (254°),0.444641204,?2:22,0.244444444,0.815277778,0.265972222,0.79375,0.288194444,0.771527778,12:43 pm (37.3°),92.369
,,28,7:24 am ? (107°),6:02 pm ? (253°),0.442997685,?2:21,0.245138889,0.814583333,0.266666667,0.792361111,0.288888889,0.770833333,12:43 pm (36.9°),92.345
,,29,7:25 am ? (107°),6:01 pm ? (253°),0.441377315,?2:20,0.245833333,0.813888889,0.268055556,0.791666667,0.289583333,0.770138889,12:43 pm (36.6°),92.321
